Timestamp,Name of the extracting person,Scimago Subject Area,Full name of the award,Source of the information on the award,Paste the information text describing the award,Confirm eligibility of the award,Comment on the award eligibility ,Full name of the awarding journal,Full name of the awarding society,Full name of the awarding publisher/other body,Comment on the awarding body ,Award cash,Comment on the award cash ,"Target career stage of eligible applicants, as stated in the award information ",Comment on the career stage ,Flexibility of the eligibility criteria,Eligibility phrasing,Inclusivity statement,Inclusivity phrasing,Assessor transparency,Assessor phrasing,Process transparency,Process phrasing,Feedback availability,Feedback phrasing,Criteria transparency,Criteria phrasing,Valuing Open Science,Valuing Open Science phrasing,Self-nomination allowed,Self-nomination phrasing,Letter required,Letter requirement phrasing,Awardee list source,Awardee list most recent year ,Awardee list earliest year ,Comments on awardees list,Comments_general,,,,,,
3/5/2023 5:41:40,Joanna Rutkowska,Veterinary,RES Journal Awards,https://www.royensoc.co.uk/membership-and-community/awards-and-grants/res-journal-awards/,The best paper published in each RES journal over a two year period. All papers published in each RES Journal.,yes (eligible award),,NA,Royal Entomological Society,NA,Each of the seven journals participate biennially.,yes,£750 and Certificate for each winning paper.,any career stage,,not applicable,,no,,yes,Editor/s and Editorial Board,no,,no,,no,,no,,yes,Publication automatically means entry.,no,,https://www.royensoc.co.uk/membership-and-community/awards-and-grants/res-journal-awards/,2022,2018,,,,,,,,
3/5/2023 5:54:43,Joanna Rutkowska,Veterinary,AB/CAPI Outstanding Research Award (Best Paper),https://www.animbiosci.org/notice/?id=110&mode=view&page=1,Awardees are selected based on research excellence or contribution to AB,yes (eligible award),,Animal Bioscience,NA,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,,no,,not available,,not available,,not available,2022,,no data on past awards,,,,,,,
3/5/2023 6:04:55,Joanna Rutkowska,Veterinary,Journal of Feline Medicine and Surgery Resident Best Paper Award,https://journals.sagepub.com/page/jfm/residentbestpaperaward,"Authors who are a Resident in a recognised residency programme (eg, ABVS, EBVS, ANZCVS) at the time of submission of their paper to JFMS will be eligible for consideration for the award, subject to the paper being accepted for publication. Note that eligibility is contingent on Resident status of the author at the time of submission, rather than at the time of publication. Accepted papers will be considered for the award year in which they are published.
Eligible papers for the award (lead authors holding Resident status at time of submission) are evaluated for benefit to cats, direct usefulness to practitioners, quality of science, originality and standard of writing.",yes (eligible award),,Journal of Feline Medicine and Surgery ,NA,NA,,no,"What will the award consist of?

        Complimentary registration to either the AAFP Annual Conference or ISFM Annual Congress (to be taken in the year that the award is announced or the subsequent year)
        Award certificate for the lead author
        Promotion via the journal home page
        Promotion by the Societies to their members via social media and newsletters
        A waived article processing charge for publishing in JFMS’s sister title, the Journal of Feline Medicine and Surgery Open Reports (JFMS Open Reports) (valid for 24 months)",early-career," early career authors in veterinary science, authors who are a Resident in a recognised residency programme (eg, ABVS, EBVS, ANZCVS) ",not applicable,,no,,no,,no,,no,,yes,"Eligible papers for the award are evaluated for benefit to cats, direct usefulness to practitioners, quality of science, originality and standard of writing.",no,,yes,Authors who submit their papers via the journal’s online submission system and indicate that the lead author is a resident in answer to the submission questions will automatically be considered for the award.,no,,https://journals.sagepub.com/page/jfm/collections/awards/best-paper,2022,2013,,,,,,,,
3/5/2023 6:15:51,Joanna Rutkowska,Veterinary,Bart Rispens Research Award,http://www.wvpa.net/awards.php#bart,The Award will be given biennially to the first author of the best paper published in the WVPA journal Avian Pathology during the two calendar years preceding the WVPA Congress. ,yes (eligible award),,Avian Pathology,World Veterinary Poultry Association,NA,,yes,"The Award consists of a medallion, a certificate and a monetary award. ",any career stage,,not available,,no,,yes,"elected by the Dr. Bart Rispens Research Award Committee, which includes representatives of the Board of the WVPA, a representative of Avian Pathology, a representative of the corporate sponso,r MSD Animal Health, and four other appointed scientists. ",no,,no,,no,,no,,not available,,not available,,http://www.wvpa.net/awards.php#bart,2021,1977,newset award found here: https://www.tandfonline.com/doi/full/10.1080/03079457.2021.1984699,"Further information about the Award can be obtained from the Secretary of the Award Committee, Prof. Dr. H. M. Hafez (hafez.mohamed@vetmed.fu-berlin.de). ",,,,,,
3/5/2023 6:25:19,Joanna Rutkowska,Veterinary,The Dunkin Award,https://onlinelibrary.wiley.com/page/journal/17485827/homepage/AnnualAwards.html,"The BSAVA awards recognise outstanding contributions in the field of small animal veterinary practice. 
This award is presented to the first named author of the best published paper in the JSAP in small animal medicine (including all aspects of internal medicine, cardiology and oncology NTCA, medical aspects of neurology and ophthalmology) during the 12 months ending 30th September.",yes (eligible award),, Journal of Small Animal Practice,British Small Animal Veterinary Association,NA,,no,,any career stage,,not applicable,,no,,yes,which are chosen by the journal’s editorial board.,no,,no,,no,,no,,no,,no,,,2023,,Internet searches needed to locate announcements with the names of the past winners,,,,,,,
3/5/2023 6:34:45,Joanna Rutkowska,Veterinary,Animals Best Paper Award,https://www.mdpi.com/journal/animals/awards,"Eligibility for the award:
– Papers published in Animals from 1 January 2021 to 31 December 2021;
– Open to all career levels;
– Both regular and Special Issue submissions will be considered.

Selection Criteria:
The papers will be selected by the Journal Award Committee according to the following criteria (data source: Web of Science (Clarivate Analytics)):
– Scientific merit and broad impact;
– Originality of the research objectives and/or the ideas presented;
– Creativity of the study design or uniqueness of the approaches and concepts;
– Clarity of presentation;
– Citation and download rates in 2022.",yes (eligible award),,Animals,NA,NA,NA,yes,Rank 1: One review and one research article award: 500 CHF each.,any career stage,,not applicable, Open to all career levels;,no,,yes,"The papers will be selected after thorough evaluation by the Journal Award Committee led by the Editor-in-Chief, Prof. Dr. Clive J. C. Phillips",no,,no,,yes,"The papers will be selected by the Journal Award Committee according to the following criteria (data source: Web of Science (Clarivate Analytics)):
– Scientific merit and broad impact;
– Originality of the research objectives and/or the ideas presented;
– Creativity of the study design or uniqueness of the approaches and concepts;
– Clarity of presentation;
– Citation and download rates in 2022.",no,,no,,no,,https://www.mdpi.com/journal/animals/awards,2023,2020,,,,,,,,
3/11/2023 12:13:58,Shinichi,Chemistry,Journal of Agricultural and Food Chemistry Research Article of the Year Award,"https://axial.acs.org/2022/04/21/journal-of-agricultural-and-food-chemistry-research-article-of-the-year-award-2022/, 2022-JAFC-Best-Article-of-the-Year-Nomination-Form.pdf","Launched in 2013, this award annually recognizes outstanding research work in the areas of agrochemicals and food chemistry with the support of the ACS Division of Agrochemicals and Division of Agricultural and Food Chemistry.

 The Journal of Agricultural and Food Chemistry (JAFC) and the ACS Divisions of Agricultural and Food Chemistry (AGFD) and Agrochemicals (AGRO) are seeking nominations for the Research Article of the Year Award Lectureship.
Two papers will be awarded, one from each category, for an outstanding article published in 2021 (either in an issue of JAFC or ASAP) that demonstrates creativity and impact on agricultural and food chemistry as a whole.
Each winner will receive:
• An award plaque
• $1000 USD
• Travel expenses up to $1250 USD to attend the Fall 2021 ACS National Meeting in Atlanta, Georgia
Nominations should include:
• Name, affiliation, and e-mail address of the nominator
• Nominee’s article title and DOI (hyperlinked to the article if possible)
• Name, affiliation, and e-mail address of the corresponding author (no self-nominations)
• A statement of why the article is outstanding (less than 500 words)
• Suggestion of a category AGFD or AGRO
• The words “JAFC nomination” in the subject of the email
Nominees will be divided into two categories:
• Agrochemicals (pesticides, biofuels and biobased products, and related)
• Agricultural and food chemistry (food, health, and related)
This will be subject to the discretion of the Editor-in-Chief.
",yes (eligible award),,Journal of Agricultural and Food Chemistry,American Chemical Society,NA,,yes,1000 USD,any career stage,,not applicable,,no,,no,,no,,no,,no,"Two papers will be awarded, one from each category, for an outstanding article published in 2021 (either in an issue of JAFC or ASAP) that demonstrates creativity and impact on agricultural and food chemistry as a whole.",no,,no,"Name, affiliation, and e-mail address of the corresponding author (no self-nominations)",yes,"Nominations should include:
• Name, affiliation, and e-mail address of the nominator
• Nominee’s article title and DOI (hyperlinked to the article if possible)
• Name, affiliation, and e-mail address of the corresponding author (no self-nominations)
• A statement of why the article is outstanding (less than 500 words)
• Suggestion of a category AGFD or AGRO
• The words “JAFC nomination” in the subject of the email",https://www.agrodiv.org/awards/journal-of-agriculture-and-food-chemistry-research-article-of-the-year-lectureship-awards/,2022,2013,,,,,,,,
3/11/2023 20:58:24,Shinichi,Chemistry,RSC Chemical Biology Outstanding Paper,https://www.rsc.org/journals-books-databases/about-journals/rsc-chemical-biology/outstanding-paper-award-of-rsc-chemical-biology/,"To recognize some of the outstanding work published in the journal, as well as the authors behind those articles, we are delighted to announce the first RSC Chemical Biology Outstanding Paper 2021 Award. This prize will recognise the contributions of all authors and celebrate these exceptional publications.

Each year, we will look back at the exceptionally high-quality and innovative chemical biology research published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations. The shortlist is reviewed by the journal's Editorial Board members based on the science presented and its potential future impact.

Guidelines for nominators
To be eligible to receive the RSC Chemical Biology Outstanding Paper Award you must have published an article in the journal in the previous calendar year. All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines.

The editorial team draws up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.

The winner is selected by the RSC Chemical Biology Editorial Board Members. 

Eligibility Criteria
To be eligible to receive an RSC Chemical Biology Outstanding Paper Award you must have published an article in the journal in the previous calendar year. All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines.

Assessment proces and selection panel
The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.

Winner(s) are selected by the RSC Chemical Biology Editorial and Advisory Boards.",yes (eligible award),,Chemical Biology,Royal Society of Chemistry,NA,,no,,any career stage,To be eligible to receive an RSC Chemical Biology Outstanding Paper Award you must have published an article in the journal in the previous calendar year. All submissions will be subject to initial assessment and peer review as appropriate according to the journal’s guidelines.,not applicable,any career stage,no,,yes,"The winner is selected by the RSC Chemical Biology Editorial Board Members. 
Winner(s) are selected by the RSC Chemical Biology Editorial and Advisory Boards.",no,,no,,no,"To recognize some of the outstanding work published in the journal, as well as the authors behind those articles, we are delighted to announce the first RSC Chemical Biology Outstanding Paper 2021 Award. This prize will recognise the contributions of all authors and celebrate these exceptional publications.

Each year, we will look back at the exceptionally high-quality and innovative chemical biology research published during the previous calendar year and put together a shortlist of articles based on a variety of metrics including article downloads, Altmetric score, and citations. The shortlist is reviewed by the journal's Editorial Board members based on the science presented and its potential future impact.
",no,,no,"The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.",no,"The editorial team draw up a shortlist of papers based on a variety of metrics including article downloads, Altmetric score, and citations.",https://www.rsc.org/journals-books-databases/about-journals/rsc-chemical-biology/outstanding-paper-award-of-rsc-chemical-biology/#eligibility,2021,2021,journal started in 2020,,,,,,,
3/11/2023 22:07:56,Shinichi,Chemistry,Chemistry of Materials Lectureship and Best Paper Award,"https://pmsedivision.org/com-best-paper-award/, https://pmsedivision.org/com-best-paper-award/#nominations","The Chemistry of Materials Lectureship and Best Paper Award honors the authors of an article published in the prior year that highlights their collaborative efforts and has outstanding influence across the field of materials chemistry .
Award Details
$2500 award to be shared between one or more lead authors is permitted. In addition, up to $2000 for travel and lodging costs may be shared by up to two of the winning article’s co-authors to attend the award symposium.

Nominations
Authors of a paper published in Chemistry of Materials can self-nominate their article for consideration for this award. Nomination packages should follow package submission guidelines.

Award Selection
The winning article will be selected by a committee of five individuals, consisting of the Editor-in-Chief or her designee from the Associate Editors of the journal, two Editorial Advisory Board members from the journal as appointed by the Editor-in-Chief, and the Chair and Past-Chair of the Division hosting the Award in a particular year.",yes (eligible award),,Chemistry of Materials,NA,NA,,yes,2500 USD,any career stage,,not applicable,,no,,yes,"The winning article will be selected by a committee of five individuals, consisting of the Editor-in-Chief or her designee from the Associate Editors of the journal, two Editorial Advisory Board members from the journal as appointed by the Editor-in-Chief, and the Chair and Past-Chair of the Division hosting the Award in a particular year.",no,,no,,no,The Chemistry of Materials Lectureship and Best Paper Award honors the authors of an article published in the prior year that highlights their collaborative efforts and has outstanding influence across the field of materials chemistry .,no,,yes,Authors of a paper published in Chemistry of Materials can self-nominate their article for consideration for this award.,yes,"The nomination package should include:

(1) a nomination letter written and signed by all co-authors describing the role of the team in the research described in the paper;
(2) CV of the lead author and the corresponding author;
(3) a copy of the article;
(4) indication of the division the paper is affiliated;
(5) An award citation of 15 words or less.",https://pmsedivision.org/com-best-paper-award/,2022,2017,The 2017 record is accidentally split into 2016 and 2017,,,,,,,
3/11/2023 22:32:19,Shinichi,Chemistry,Annual Best Paper Award for Engineered Science,https://www.espublisher.com/Annual-Best-Paper-Award,"To recognize the significant contribution to the development of Engineered Science journal, the editorial board and scientific advisory committee will initiate the Best Paper Award from 2020 and announce the awardees on an annual base. The authors for the selected paper will be recognized and announced by the committee chair or Editor-in-Chief.
Procedure for the award selection:
1. The award should be made to an original high-quality research article that contributes significantly to science and engineering. The paper can be on the fundamental side and/or on the applied side. The emphasis is on the novelty and potentially high impact of the work in the relevant research field and beyond.
2. All editorial board members have one month to nominate his/her own favorite article for the year. The nomination will start from June 1st and end on July 30th.
3. An award selection committee will be formed to determine the best paper award based on the technical merit of the work.
4. The award will be announced each year, and an award ceremony will be held during Engineered Science Annual Meeting.",yes (eligible award),,Engineered Science,NA,NA,,no,,any career stage,,not applicable,,no,,no,3. An award selection committee will be formed to determine the best paper award based on the technical merit of the work.,no,,no,,no,"1. The award should be made to an original high-quality research article that contributes significantly to science and engineering. The paper can be on the fundamental side and/or on the applied side. The emphasis is on the novelty and potentially high impact of the work in the relevant research field and beyond.
3. An award selection committee will be formed to determine the best paper award based on the technical merit of the work.",no,,no,2. All editorial board members have one month to nominate his/her own favorite article for the year. The nomination will start from June 1st and end on July 30th.,no,2. All editorial board members have one month to nominate his/her own favorite article for the year. The nomination will start from June 1st and end on July 30th.,https://www.espublisher.com/es-bestpapers2022,2022,2022,award initiated in 2020,,,,,,,
3/11/2023 23:00:46,Shinichi,Chemistry,JBC Herbert Tabor Early Career Investigator Award,https://www.jbc.org/tabor-awards,"The JBC Herbert Tabor Early Career Investigator Awards honor Tabor’s invaluable contributions to science as a whole and to JBC specifically, where he served as editor-in-chief from 1971-2012. The awards recognize the innovators and achievers in new generations of researchers who exemplify Tabor’s values of creativity and scientific excellence. Awards are given to the first authors of exceptional JBC papers that appeared in the preceding year. Students, postdoctoral researchers, and faculty members who have not yet received tenure are eligible. The winners are invited to give talks as part of a special spotlight session at the ASBMB Annual Meeting, all expenses paid. Read more about the decision process and each of the 2022 winners in this ASBMB Today article by JBC Associate Editor George DeMartino.",yes (eligible award),,Journal of Biological Chemistry,"American Society of Biochemistry and Molecular Biology,",NA,,no,winners are invited to give talks,"student, early-career, mid-career","Students, postdoctoral researchers, and faculty members who have not yet received tenure are eligible.",not applicable,,no,,no,,no,,no,,no,Awards are given to the first authors of exceptional JBC papers that appeared in the preceding year.,no,,no,,no,,https://www.jbc.org/tabor-awards,2022,2011,paper + person listed only for years 2018-2022,,,,,,,
3/11/2023 23:08:21,Shinichi,Chemistry,Biosensors & Bioelectronics Best Paper Award,"https://www.elsevier.com/events/conferences/world-congress-on-biosensors/about/awards#:~:text=Biosensors%20and%20Bioelectronics%20Award,keynote%20talks%20in%20the%20programme","Biosensors and Bioelectronics Award
The Biosensors & Bioelectronics Prize of US$1000 plus a free registration to the 2023 Congress is sponsored by Elsevier and is presented to the author of the paper judged the most original contribution to the congress. The finalists will be allocated keynote talks in the programme.",yes (eligible award),,Biosensors and Bioelectronics,NA,Elsevier,The Biosensors & Bioelectronics Prize of US$1000 plus a free registration to the 2023 Congress is sponsored by Elsevier,yes,"1000 USD, conference registration fee and a keynote talk",unclear,"no information, seems like any article",not available,,not available,,not available,,not avialable,,not available,,not available,,not available,,not available,,not available,,"biosensors/about/awards#:~:text=Biosensors%20and%20Bioelectronics%20Award,keynote%20talks%20in%20the%20programme",2021,2014,,,,,,,,
3/12/2023 7:58:53,Shinichi,Chemistry,Corrosion Science TP Hoar Award,https://www.icorr.org/icorr-awards/,"Dr Hoar was the first recipient of the U R Evans Award and the prize in his memory is awarded by a sub-committee of the Corrosion Science Division for the best paper published each year in Corrosion Science.  To commemorate his outstanding contributions to pure and applied corrosion science and his long associations with the Institution, its predecessors, and the journal Corrosion Science, and also to recognize publication in Corrosion Science of seminal or otherwise outstanding research in pure or applied corrosion science, the Institution of Corrosion Science and Technology T P Hoar Award was established. The T P Hoar Award, which originally consisted of an engraved certificate and a monetary award of £200, is awarded annually by the Council of the Institute, on the recommendation of the Corrosion Science Division Committee, to the author or authors (irrespective of number, age, nationality or membership of the Institute) of a paper published in Corrosion Science in the previous calendar year of outstanding scientific and/or technological merit.

The T P Hoar award, which is in part supported by Elsevier, the publishers of Corrosion Science, was awarded for the first time in 1981, to a paper published in Volume 20 (1980) of Corrosion Science. The first recipients of the Prize were announced at the 22nd Corrosion Science Symposium held in Newcastle-upon-Tyne on 15-18 December 1981.

The TP Hoar Award recipient is notified via a letter, with an enclosed certificate and cheque for £400.",yes (eligible award),,Corrosion Science,NA,Elsevier,,yes,400 GBP,any career stage,"awarded annually by the Council of the Institute, on the recommendation of the Corrosion Science Division Committee, to the author or authors (irrespective of number, age, nationality or membership of the Institute) of a paper published in Corrosion Science in the previous calendar year of outstanding scientific and/or technological merit.",not applicable,,no,,no,"awarded annually by the Council of the Institute, on the recommendation of the Corrosion Science Division Committee",no,,no,,no,"to the author or authors (irrespective of number, age, nationality or membership of the Institute) of a paper published in Corrosion Science in the previous calendar year of outstanding scientific and/or technological merit.",no,,no,"awarded annually by the Council of the Institute, on the recommendation of the Corrosion Science Division Committee, to the author or authors (irrespective of number, age, nationality or membership of the Institute) of a paper published in Corrosion Science in the previous calendar year of outstanding scientific and/or technological merit.",no,,https://www.icorr.org/icorr-awards/,2021,1997,"award is given since 1991, but no info on winners 1992-1996",,,,,,,
3/12/2023 8:02:36,Shinichi,Chemistry,Proceedings of the Combustion Institute Distinguished Papers,https://www.combustioninstitute.org/resources/awards/distinguished-papers/,"Distinguished papers are selected biennially from among the scientific papers presented during the International Symposium on Combustion and accepted for publication in the Proceedings of The Combustion Institute. One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance.",yes (eligible award),,Proceedings of The Combustion Institute,The Combustion Institute,NA,,no,,any career stage,,not applicable,,no,,no,,no,,no,,no,"One paper is selected for each represented colloquium as the most distinguished in quality, achievement, and significance.",no,,no,,no,,https://www.combustioninstitute.org/resources/awards/distinguished-papers/,2022,2011,awarded grouped by thematic category,,,,,,,
3/12/2023 8:11:07,Shinichi,Chemistry,Helvetica Prize of the Swiss Chemical Society,https://fm22.scg.ch/awards/helvetica-prize-2022,"On the occasion of the SCS Fall Meeting 2022 Helvetica, represented by its eidtors in chief, Prof. Eva Hevia and Prof. Jérôme Waser, as well als Helvetica Managing Editor Dr. Richard Smith, will award the Helvetica Prize of the Swiss Chemical Society for the best published papers of PhD/Postdocs 2021/22 in Helvetica Chimica Acta. The prize is endowed with CHF 1'000 for the winner and CHF 500 for the runner-up.

Dr. Richard Smith, Managing Editor of Helvetica, will hand over the certificates to the  winners on September 8, 2022, at 17.50h in the plenary room. The winners will present their research in an elevator talk of 3min each.",yes (eligible award),,Helvetica Chimica Acta,Swiss Chemical Society,Wiley,,yes,1000 CHF and talk; The prize is endowed with CHF 1'000 for the winner and CHF 500 for the runner-up. ... The winners will present their research in an elevator talk of 3min each.,"student, early-career","Helvetica, represented by its eidtors in chief, Prof. Eva Hevia and Prof. Jérôme Waser, as well als Helvetica Managing Editor Dr. Richard Smith, will award the Helvetica Prize of the Swiss Chemical Society for the best published papers of PhD/Postdocs 2021/22 in Helvetica Chimica Acta",not applicable,,no,,yes,"Helvetica, represented by its eidtors in chief, Prof. Eva Hevia and Prof. Jérôme Waser, as well als Helvetica Managing Editor Dr. Richard Smith, will award the Helvetica Prize of the Swiss Chemical Society for the best published papers of PhD/Postdocs 2021/22 in Helvetica Chimica Acta",no,,no,,no,for the best published papers of PhD/Postdocs 2021/22 in Helvetica Chimica Acta,no,,no,,no,,https://fm22.scg.ch/awards/helvetica-prize-2022,2022,2019,,,,,,,,
3/12/2023 8:28:18,Losia Lagisz,Agricultural and Biological Sciences,Publisher's Award for Excellence in Systematic Research,https://academic.oup.com/sysbio/pages/publishers_award,Oxford University Press are pleased to sponsor the Systematic Biology Publisher's Award. The award is presented to the two best papers based on student research published in the journal during the previous year. The lead author must have been a student at the time the research was conducted. The Publisher's Award is $500 and is presented at the annual meeting to the student authors. If an article is co-authored by 2 or more students then special arrangements can be made to ensure appropriate recognition of each. The winner is selected by a committee consisting of the President and the Editor. No application is required.,yes (eligible award),,Systematic Biology,Society of Systematic Biologists,Oxford University Press,,yes,500 USD,student,The lead author must have been a student at the time the research was conducted. ,not applicable,The lead author must have been a student at the time the research was conducted. ,no,,yes,The winner is selected by a committee consisting of the President and the Editor.,no,,no,,no,The award is presented to the two best papers based on student research published in the journal during the previous year.,no,,no,no information,no,,https://academic.oup.com/sysbio/pages/publishers_award,2021,1998,no paper titles listed for 1998-2000,,,,,,,
3/12/2023 9:35:29,Losia Lagisz,Agricultural and Biological Sciences,Early Career Researcher Award,https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,"The Ecology Letters Early Career Researcher Award recognises an outstanding contribution to research by an early career researcher.
We are inviting researchers from Masters students up to postdoctoral researchers within three years of their PhD to self-nominate their submitted papers to be considered for this annual prize. The winner will be selected by the Senior Editors of Ecology Letters from nominations of papers accepted in 2022. The winner of the 2022 Award will be announced in Spring 2023.
The winner will receive:
1,000 USD prize money.
Video Byte Service to present the impact of your paper which can be used to promote your paper through social media, hosted on lab websites and YouTube.
A Webinar where you will present your work and officially receive the Award, to be posted on the Ecology Letters website and Twitter page.
A potential invitation to join the Ecology Letters Associate Editor board.
To nominate your paper that was submitted to Ecology Letters, please send the title of your paper via email or tick the self-nominate box when submitting your paper to Ecology Letters.
To be eligible, you must be the first author on the paper you submit, and at any career stage from Masters up to postdoctoral researcher (within three years of your PhD).",yes (eligible award),,Ecology Letters,NA,NA,,yes,"1000 USD, video service, webinar, potential invitation to join the Ecology Letters Associate Editor board","student, early-career",We are inviting researchers from Masters students up to postdoctoral researchers within three years of their PhD to self-nominate their submitted papers to be considered for this annual prize. ,no,,no,,yes,The winner will be selected by the Senior Editors of Ecology Letters ,no,,no,,no,The Ecology Letters Early Career Researcher Award recognises an outstanding contribution to research by an early career researcher.,no,,yes,"To nominate your paper that was submitted to Ecology Letters, please send the title of your paper via email or tick the self-nominate box when submitting your paper to Ecology Letters.",no,"To nominate your paper that was submitted to Ecology Letters, please send the title of your paper via email or tick the self-nominate box when submitting your paper to Ecology Letters.",https://onlinelibrary.wiley.com/page/journal/homepage/14610248/ecologylettersaward?=,2021,2019,,,,,,,,
3/12/2023 9:43:05,Losia Lagisz,Agricultural and Biological Sciences,Society for Molecular Biology and Evolution Best Graduate Student Paper,https://www.smbe.org/smbe/AWARDS/StudentandPostdoctoralFellowAwards/BestGraduateStudentPaperAward.aspx,"These awards provide recognition for outstanding student papers in both SMBE journals.
All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution, in the calendar year prior to the meeting are eligible for nomination. The best student paper of the year in each journal will receive the prize. 
Eligibility & Nomination:
1. All articles published in the two SMBE journals, Molecular Biology & Evolution and Genome Biology & Evolution (one prize for each journal), in the calendar year 2021 are automatically eligible if the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D.
2. The nominated graduate student must be the first author or joint first-author of the nominated paper.
3. An article and its first author can be nominated by anyone; self-nominations are acceptable.
4. A signed letter from the Ph.D. advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work is required.
5. The deadline for submitting nominations is June 15, 2022.
The nomination must provide:
Shared first-authorship is also subject to nomination; if both first-authors are students and the article wins, the award will go to both authors.
A signed letter from the PhD advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work
Process: The editor-in-chief of each journal will convene separate selection committees, which will choose one awardee each.
The Prize: The best student paper winners will receive a prize each of $500USD, runners up a prize each of $100USD.
How to Enter
Please send the name of the nominee, a scan of the signed advisor letter, and the name of the paper for which the award is to be considered as a SINGLE PDF to smbe@allenpress.com. Please use the email subject line ""MBE/GBE Best Student Paper Nomination"", deleting journal name as appropriate.",yes (eligible award),,Molecular Biology & Evolution; Genome Biology & Evolution,Society for Molecular Biology and Evolution,NA,,yes,5000 USD,"student, early-career", the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D. ... the paper was part of the nominee’s thesis or graduate work is required.,no, the final publication date of the nominated paper is not more than two years later than the date of the nominee's Ph.D. ..,no,,yes,"Process: The editor-in-chief of each journal will convene separate selection committees, which will choose one awardee each.",no,,no,,no,These awards provide recognition for outstanding student papers in both SMBE journals. ... he best student paper of the year in each journal will receive the prize.,no,,yes,An article and its first author can be nominated by anyone; self-nominations are acceptable.,yes,"A signed letter from the PhD advisor, MSc advisor, or equivalent, confirming that the paper was part of the nominee’s thesis or graduate work",https://www.smbe.org/smbe/AWARDS/StudentandPostdoctoralFellowAwards/BestGraduateStudentPaperAward.aspx,2022,2016,,,,,,,,
3/12/2023 9:50:57,Losia Lagisz,Agricultural and Biological Sciences,Raymond L. Lindeman Award,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,"This annual award in honor of Raymond L. Lindeman (1915-1942) was first presented in 1987 to recognize an outstanding paper written by a young aquatic scientist.
ELIGIBILITY
This annual award recognizes an outstanding paper dealing with the aquatic sciences. Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD. The paper must be published in a peer-reviewed journal two years before the award year (e.g., 2022 award will be presented for work published in 2020). The nominee must be first author if there is more than one author. Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees. This award is for an individual.
NOMINATIONS PACKAGE
Nominations should include a copy of the paper and a brief letter of less than 500 words describing the impact of the paper on the field.",yes (eligible award),,NA,Association for the Sciences of Limnology and Oceanography (ASLO) ,NA,,no,,"student, early-career",Nominated papers must be written in English and have a journal publication year prior to or within four years of the primary author earning a PhD. ,no,,no,,yes,info available at https://www.aslo.org/about-aslo/aslo-committees/aslo-awards-committees/lindeman-and-martin-award-subcommittee/,no,,no,,no,This annual award recognizes an outstanding paper dealing with the aquatic sciences. ,no,,no,"Nominations may be made by any ASLO member, with the exception of the authors, or members of ASLO Executive, Board, or Award Committees. ",yes,Nominations should include a copy of the paper and a brief letter of less than 500 words describing the impact of the paper on the field.,https://www.aslo.org/aslo-awards/raymond-l-lindeman-award/,2022,1987,,,,,,,,
3/12/2023 10:05:03,Losia Lagisz,Agricultural and Biological Sciences,ESA George Mercer Award,"https://www.esa.org/about/awards/george-mercer-award/#:~:text=The%20Mercer%20Award%20is%20given,at%20the%20time%20of%20publication).","The Mercer Award is given for an outstanding ecological research paper published by a younger researcher (the lead author must be 40 years of age or younger at the time of publication). If the award is given for a paper with multiple authors, all authors will receive a plaque, and those 40 years of age or younger at the time of publication will share the monetary prize. Nomination letters should include the birth date(s) of the eligible author(s) and explain the novelty and importance of the paper. The paper must have been published in 2021 or 2022 to be eligible for this year’s award.",yes (eligible award),,NA,Ecological Society of America,NA,,yes,"https://www.esa.org/history/mercer-award/ mentioned, but no amount disclosed","student, early-career",the lead author must be 40 years of age or younger at the time of publication,no,the lead author must be 40 years of age or younger at the time of publication,no,,yes,https://www.esa.org/about/governance/standing-committees/awards-committee/,no,,no,,no,The George Mercer Award is given for an outstanding ecological research paper published within the past two years by a younger researcher ... Nomination letters should include the birth date(s) of the eligible author(s) and explain the novelty and importance of the paper. ,no,,no,Nomination letters should include the birth date(s) of the eligible author(s) and explain the novelty and importance of the paper. ,yes,Nomination letters should include the birth date(s) of the eligible author(s) and explain the novelty and importance of the paper. ,https://www.esa.org/history/mercer-award/,2022,1948,,,,,,,,
